centroid_x,centroid_y,centroid_z,dim_x,dim_y,dim_z,volume,ijk,xc,yc,zc,xinc,yinc,zinc,nx,ny,nz,xmorig,ymorig,zmorig,zone,product,cog,density,class,zona,ni_ok_fi,co_ok_fi,fe_ok_fi,mgo_ok_f,sio2_ok_,smratio,finsolprod090135_def,finsolprod090135_comb,finsolprod090135_val,basicity,econ_val_usd,sum_econ_val_usd
Variable descriptions:,,,,,,,Datamine field : ijk,Datamine field : xc,Datamine field : yc,Datamine field : zc,Datamine field : xinc,Datamine field : yinc,Datamine field : zinc,Datamine field : nx,Datamine field : ny,Datamine field : nz,Datamine field : xmorig,Datamine field : ymorig,Datamine field : zmorig,Datamine field : zone,Datamine field : product,Datamine field : cog,Datamine field : density,Datamine field : class,Datamine field : zone_int,Datamine field : ni_ok_fi,Datamine field : co_ok_fi,Datamine field : fe_ok_fi,Datamine field : mgo_ok_f,Datamine field : sio2_ok_,Datamine field : smratio,29-Oct-2025,29-Oct-2025,,,,sum_econ_val_usd
Variable types:,,,,,,,float,float,float,float,float,float,float,float,float,float,float,float,float,name,name,name,float,name,float,float,float,float,float,float,float,name,name,double,double,double,float
572558.750000,9059308.750000,223.500000,12.500000,12.500000,1.000000,156.250000,229568.000000,572558.750000,9059309.000000,223.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,14.860000,measured,18.000000,4.222047,0.382630,146.671310,192.573641,222.058312,11.746457,waste,obws,32.000000,6.087328,-24.000000,-24.000000
572558.750000,9059321.250000,224.500000,12.500000,12.500000,1.000000,156.250000,229804.000000,572558.750000,9059321.000000,224.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,19.010000,measured,21.000000,5.227791,0.643325,232.957142,199.992775,223.256741,17.479409,waste,obws,34.000000,7.000760,-30.000000,-30.000000
572558.750000,9059333.750000,227.500000,12.500000,12.500000,1.000000,156.250000,230042.000000,572558.750000,9059334.000000,227.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,22.440000,measured,24.000000,5.632871,0.547236,288.377891,225.332892,260.648900,22.484330,waste,obws,40.000000,7.969762,-36.000000,-36.000000
572558.750000,9059346.250000,228.500000,12.500000,12.500000,1.000000,156.250000,230278.000000,572558.750000,9059346.000000,228.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,24.440000,measured,27.000000,6.608943,0.744106,303.581307,256.057970,296.238482,22.390107,waste,obws,45.000000,9.000685,-39.000000,-39.000000
572558.750000,9059358.750000,229.500000,12.500000,12.500000,1.000000,156.250000,230514.000000,572558.750000,9059359.000000,229.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,28.730000,measured,32.000000,7.462135,0.938642,344.367586,300.219307,340.442064,26.149572,waste,obws,53.000000,10.390072,-41.000000,-41.000000
572558.750000,9059371.250000,229.500000,12.500000,12.500000,1.000000,156.250000,230749.000000,572558.750000,9059371.000000,229.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,29.020000,measured,31.000000,7.458617,1.023106,372.252337,277.579265,315.237818,28.526628,waste,obws,49.000000,9.801046,-37.000000,-37.000000
572558.750000,9059383.750000,228.500000,12.500000,12.500000,1.000000,156.250000,230983.000000,572558.750000,9059384.000000,228.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,bedrock,bedrock,belowcog,25.160000,measured,27.000000,6.760819,0.892826,323.347854,243.138170,276.211457,22.108076,waste,obws,43.000000,8.880691,-31.000000,-31.000000
572558.750000,9059396.250000,228.500000,12.500000,12.500000,1.000000,156.250000,231218.000000,572558.750000,9059396.000000,228.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,23.020000,measured,22.000000,6.958359,0.911493,349.314302,178.444435,204.747913,20.376649,waste,obws,35.000000,7.938599,-24.000000,-24.000000
572558.750000,9059408.750000,227.500000,12.500000,12.500000,1.000000,156.250000,231452.000000,572558.750000,9059409.000000,227.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,19.160000,measured,18.000000,5.658937,0.755448,298.590039,142.720022,161.661887,16.776399,ob,obws,28.000000,6.717760,-22.000000,-22.000000
572558.750000,9059421.250000,226.500000,12.500000,12.500000,1.000000,156.250000,231686.000000,572558.750000,9059421.000000,226.500000,12.500000,12.500000,1.000000,82.000000,171.000000,235.000000,572490.000000,9057790.000000,15.000000,limonite,bedrock,belowcog,17.300000,measured,17.000000,5.102629,0.661082,247.469366,145.022951,164.380063,14.929072,waste,obws,27.000000,6.103066,-19.000000,-19.000000
